id,market_category,english_name,trophic_level,habitat,mercury_levels,units,mercury_ppm,lab,country,estimated_error,chinese_name
ST3001,Anchovy,Anchovies,P,Pelagic,0.015,mg/kg,0.015,Eurofins HK,HK,,
ST3001,Anchovy,,P,Pelagic,25.21,ng/g,0.02521,Wisconsin State,US,2.6,
ST5002,Anchovy,Anchovy,P,Pelagic,0.015,mg/kg,0.015,Eurofins HK,HK,,
ST5002,Anchovy,,P,Pelagic,44.19,ng/g,0.04419,Wisconsin State,US,4.6,
ST7001,Anchovy,Anchovies,P,Pelagic,0.018,mg/kg,0.018,Eurofins HK,HK,,
ST7001,Anchovy,Anchovies,P,Pelagic,0.0249,ppm,0.0249,Eurofins LA,US,,
ST8001,Bonito,Bonito Fish,TP,Pelagic,0.0808,ppm,0.0808,Eurofins LA,US,,
ST8001,Bonito,Bonito Fish,TP,Pelagic,0.19,mg/kg,0.19,Eurofins HK,HK,,
ST10001,Croaker,Croaker Fish,MP,Demersal,0.0493,ppm,0.0493,Eurofins LA,US,,
ST10001,Croaker,Croaker,MP,Demersal,0.16,mg/kg,0.16,Eurofins HK,HK,,
ST1001,Croaker,Croaker Fish,MP,Demersal,0.087,mg/kg,0.087,Eurofins HK,HK,,
ST1001,Croaker,,MP,Demersal,124,ng/g,0.124,Wisconsin State,US,13,
ST1001,Croaker,,MP,Demersal,177.4,ng/g,0.1774,Wisconsin State,US,19,
ST1003,Croaker,Croaker Fish,MP,Demersal,0.1,mg/kg,0.1,Eurofins HK,HK,,
ST1003,Croaker,,MP,Demersal,186.5,ng/g,0.1865,Wisconsin State,US,20,
ST1006,Croaker,Yellow Croaker,MP,Demersal,0.0197,ppm,0.0197,Eurofins LA,US,,
ST1006,Croaker,Yellow Croaker,MP,Demersal,0.13,mg/kg,0.13,Eurofins HK,HK,,
ST11002,Croaker,Croaker Fish,MP,Demersal,0.0381,ppm,0.0381,Eurofins LA,US,,
ST11002,Croaker,Croaker Fish,MP,Demersal,0.045,mg/kg,0.045,Eurofins HK,HK,,
ST14003,Croaker,Dried Croaker Fish,MP,Demersal,0.045,mg/kg,0.045,Eurofins HK,HK,,
ST14003,Croaker,Dried Croaker Fish,MP,Demersal,0.173,ppm,0.173,Eurofins LA,US,,
ST2005,Croaker,Yellow Croaker,MP,Demersal,0.0352,ppm,0.0352,Eurofins LA,US,,
ST2005,Croaker,Yellow Croaker,MP,Demersal,0.15,mg/kg,0.15,Eurofins HK,HK,,
ST3002,Croaker,Croaker Fish,MP,Demersal,0.096,mg/kg,0.096,Eurofins HK,HK,,
