sample,market_category,analyte,ppm,year
ANCHOVIES,Anchovy,0,0.0173,2007
ANCHOVIES,Anchovy,0,0.0487,2007
ANCHOVIES,Anchovy,0,0.0385,2007
ANCHOVIES,Anchovy,0,0.0235,2007
ANCHOVIES,Anchovy,0,0,2007
ANCHOVIES,Anchovy,0,0,2007
ANCHOVIES,Anchovy,0,0.0239,2007
ANCHOVIES,Anchovy,0,0.0109,2007
ANCHOVIES,Anchovy,0,0.0282,2007
ANCHOVIES,Anchovy,0,0.0047,2007
ANCHOVIES,Anchovy,0,0.0011,2007
ANCHOVIES,Anchovy,0,0.008,2007
ANCHOVIES,Anchovy,0,0.011,2007
ANCHOVIES,Anchovy,0,0.0052,2008
ANCHOVIES,Anchovy,0,0.0216,2009
CROAKER ATLANTIC,Croaker,Mercury,0.033,2002
CROAKER ATLANTIC,Croaker,Mercury,0.014,2002
CROAKER ATLANTIC,Croaker,Mercury,0.041,2002
CROAKER ATLANTIC,Croaker,Mercury,0.03,2002
CROAKER ATLANTIC,Croaker,Mercury,0.08,2002
CROAKER ATLANTIC,Croaker,Mercury,0.05,2002
CROAKER ATLANTIC,Croaker,Mercury,0.05,2002
CROAKER ATLANTIC,Croaker,Mercury,0.04,2002
CROAKER ATLANTIC,Croaker,Mercury,0.03,2002
CROAKER ATLANTIC,Croaker,Mercury,0.102,2002
CROAKER ATLANTIC,Croaker,Mercury,0.013,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.045,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.046,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.049,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.053,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.054,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.054,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.056,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.074,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.076,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.079,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.085,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.086,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.09,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.096,2002/03
CROAKER ATLANTIC,Croaker,Mercury,0.121,2004
CROAKER ATLANTIC,Croaker,Mercury,0.11,2004
CROAKER ATLANTIC,Croaker,Mercury,0.148,2004
CROAKER ATLANTIC,Croaker,Mercury,0.119,2004
CROAKER ATLANTIC,Croaker,Mercury,0.122,2004
CROAKER ATLANTIC,Croaker,Mercury,0.125,2004
CROAKER ATLANTIC,Croaker,Mercury,0.14,2004
CROAKER ATLANTIC,Croaker,Mercury,0.114,2004
CROAKER ATLANTIC,Croaker,Mercury,0.066,2004
CROAKER ATLANTIC,Croaker,Mercury,0.122,2004
CROAKER ATLANTIC,Croaker,Mercury,0.082,2004
CROAKER ATLANTIC,Croaker,Mercury,0.063,2004
CROAKER ATLANTIC,Croaker,Mercury,0.173,2004
CROAKER ATLANTIC,Croaker,Mercury,0.1,2004
CROAKER ATLANTIC,Croaker,Mercury,0.112,2004
CROAKER ATLANTIC,Croaker,Mercury,0.137,2004
CROAKER ATLANTIC,Croaker,Mercury,0.03,2004
CROAKER ATLANTIC,Croaker,Mercury,0.042,2004
CROAKER ATLANTIC,Croaker,Mercury,0.073,2004
CROAKER ATLANTIC,Croaker,Mercury,0.018,2006
CROAKER ATLANTIC,Croaker,Mercury,0.065,2006
CROAKER ATLANTIC,Croaker,Mercury,0.046,2006
CROAKER ATLANTIC,Croaker,Mercury,0.061,2006
CROAKER ATLANTIC,Croaker,Mercury,0.032,2006
CROAKER ATLANTIC,Croaker,Mercury,0.09,2006
CROAKER ATLANTIC,Croaker,Mercury,0.097,2006
CROAKER ATLANTIC,Croaker,Mercury,0.06,2006
CROAKER ATLANTIC,Croaker,Mercury,0.1929,2006
CROAKER ATLANTIC,Croaker,Mercury,0.173,2006
CROAKER ATLANTIC,Croaker,Mercury,0.1,2006
CROAKER ATLANTIC,Croaker,Mercury,0.112,2006
CROAKER ATLANTIC,Croaker,Mercury,0.173,2006
CROAKER ATLANTIC,Croaker,Mercury,0.1,2006
CROAKER ATLANTIC,Croaker,Mercury,0.018,2007
CROAKER ATLANTIC,Croaker,Mercury,0.065,2007
CROAKER ATLANTIC,Croaker,Mercury,0.046,2007
CROAKER ATLANTIC,Croaker,Mercury,0.09,2007
CROAKER ATLANTIC,Croaker,Mercury,0.06,2007
CROAKER ATLANTIC,Croaker,Mercury,0.061,2007
CROAKER ATLANTIC,Croaker,Mercury,0.032,2007
CROAKER ATLANTIC,Croaker,Mercury,0.097,2007
CROAKER ATLANTIC,Croaker,Mercury,0.193,2007
CROAKER ATLANTIC,Croaker,Mercury,0.097,2007
CROAKER ATLANTIC,Croaker,Mercury,0.193,2007
CROAKER ATLANTIC,Croaker,Mercury,0.0379,2009
CROAKER ATLANTIC,Croaker,Mercury,0,2009
CROAKER ATLANTIC,Croaker,Mercury,0.032,2009
CROAKER ATLANTIC,Croaker,Mercury,0,2009
CROAKER ATLANTIC,Croaker,Mercury,0,2009
CROAKER ATLANTIC,Croaker,Mercury,0,2009
CROAKER ATLANTIC,Croaker,Mercury,0,2009
CROAKER ATLANTIC,Croaker,Mercury,0,2009
CROAKER ATLANTIC,Croaker,Mercury,0.0376,2009
CROAKER ATLANTIC,Croaker,Mercury,0.0361,2009
CROAKER ATLANTIC,Croaker,Mercury,0,2009
CROAKER ATLANTIC,Croaker,Mercury,0,2009
CROAKER ATLANTIC,Croaker,Mercury,0,2009
CROAKER ATLANTIC,Croaker,Mercury,0,2009
CROAKER ATLANTIC,Croaker,Mercury,0,2009
CROAKER ATLANTIC,Croaker,Mercury,0.042,2009
CROAKER ATLANTIC,Croaker,Mercury,0.058,2010
CROAKER ATLANTIC,Croaker,Mercury,0.034,2010
CROAKER ATLANTIC,Croaker,Mercury,0.139,2010
CROAKER ATLANTIC,Croaker,Mercury,0.0401,2011
CROAKER ATLANTIC,Croaker,Mercury,0.0414,2011
CROAKER WHITE,Croaker,Mercury,0.18,1997
CROAKER WHITE,Croaker,Mercury,0.2,1997
CROAKER WHITE,Croaker,Mercury,0.21,1997
CROAKER WHITE,Croaker,Mercury,0.23,1997
CROAKER WHITE,Croaker,Mercury,0.25,1997
CROAKER WHITE,Croaker,Mercury,0.28,1997
CROAKER WHITE,Croaker,Mercury,0.28,1997
CROAKER WHITE,Croaker,Mercury,0.28,1997
CROAKER WHITE,Croaker,Mercury,0.29,1997
CROAKER WHITE,Croaker,Mercury,0.3,1997
CROAKER WHITE,Croaker,Mercury,0.3,1997
CROAKER WHITE,Croaker,Mercury,0.31,1997
CROAKER WHITE,Croaker,Mercury,0.39,1997
CROAKER WHITE,Croaker,Mercury,0.39,1997
CROAKER WHITE,Croaker,Mercury,0.41,1997
FLATFISH: FLOUNDER,Flounder,Methylmercury,0,1991
FLATFISH: FLOUNDER,Flounder,Methylmercury,0.07,1991
FLATFISH: FLOUNDER,Flounder,Methylmercury,0.08,1991
FLATFISH: FLOUNDER,Flounder,Methylmercury,0,1992
FLATFISH: FLOUNDER,Flounder,Methylmercury,0.072,1992
FLATFISH: FLOUNDER,Flounder,Methylmercury,0,1994
FLATFISH: FLOUNDER,Flounder,Methylmercury,0,1994
FLATFISH: FLOUNDER,Flounder,Methylmercury,0,1994
FLATFISH: FLOUNDER,Flounder,Methylmercury,0,1994
FLATFISH: FLOUNDER,Flounder,Methylmercury,0.04,1994
FLATFISH: FLOUNDER,Flounder,Methylmercury,0.043,1994
FLATFISH: FLOUNDER,Flounder,Mercury,0.0396,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.052,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.039,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.063,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.084,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.05,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.048,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.04,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.07,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.083,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.051,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.075,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.048,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.085,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.074,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.027,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.127,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.137,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.025,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.021,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.028,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.08,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.065,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.015,2005
FLATFISH: FLOUNDER,Flounder,Mercury,0.042,2007
FLATFISH: FLOUNDER,Flounder,Mercury,0.075,2007
FLATFISH: FLOUNDER,Flounder,Mercury,0.081,2007
FLATFISH: FLOUNDER,Flounder,Mercury,0.218,2007
FLATFISH: FLOUNDER,Flounder,Mercury,0.092,2007
FLATFISH: FLOUNDER,Flounder,Mercury,0.111,2007
FLATFISH: FLOUNDER,Flounder,Mercury,0.162,2007
FLATFISH: FLOUNDER,Flounder,Mercury,0.06,2007
FLATFISH: FLOUNDER,Flounder,Mercury,0.016,2007
FLATFISH: FLOUNDER,Flounder,Mercury,0.068,2007
FLATFISH: FLOUNDER,Flounder,Mercury,0.113,2008
FLATFISH: FLOUNDER,Flounder,Mercury,0.046,2008
FLATFISH: FLOUNDER,Flounder,Mercury,0.094,2008
FLATFISH: FLOUNDER,Flounder,Mercury,0.028,2008
FLATFISH: FLOUNDER,Flounder,Mercury,0.0308,2008
FLATFISH: FLOUNDER,Flounder,Mercury,0,2008
FLATFISH: FLOUNDER,Flounder,Mercury,0,2008
FLATFISH: FLOUNDER,Flounder,Mercury,0,2008
FLATFISH: FLOUNDER,Flounder,Mercury,0,2008
FLATFISH: FLOUNDER,Flounder,Mercury,0.009,2009
FLATFISH: FLOUNDER,Flounder,Mercury,0.049,2009
FLATFISH: FLOUNDER,Flounder,Mercury,0.057,2009
FLATFISH: FLOUNDER,Flounder,Mercury,0.051,2009
FLATFISH: FLOUNDER,Flounder,Mercury,0.0865,2009
FLATFISH: FLOUNDER,Flounder,Mercury,0.06,2009
HERRING,Herring,0,0.0417,2005
HERRING,Herring,0,0,2005
HERRING,Herring,0,0.0337,2005
HERRING,Herring,0,0.1002,2005
HERRING,Herring,0,0.0621,2005
HERRING,Herring,0,0.0707,2005
HERRING,Herring,0,0.063,2005
HERRING,Herring,0,0,2005
HERRING,Herring,0,0.0247,2005
HERRING,Herring,0,0.086,2005
HERRING,Herring,0,0.048,2005
HERRING,Herring,0,0.042,2005
HERRING,Herring,0,0,2006
HERRING,Herring,0,0.0478,2007
HERRING,Herring,0,0.146,2007
HERRING,Herring,0,0.0308,2007
HERRING,Herring,0,0.0456,2007
HERRING,Herring,0,0.0355,2007
HERRING,Herring,0,0.56,2008
HERRING,Herring,0,0.454,2008
HERRING,Herring,0,0.0361,2008
HERRING,Herring,0,0.0433,2008
HERRING,Herring,0,0.032,2012
HERRING,Herring,0,0.034,2012
HERRING,Herring,0,0.0226,2012
HERRING,Herring,0,0.0153,2012
HERRING,Herring,0,0.0377,2012
MACKEREL,Mackerel,Methylmercury,0.1,1991
MACKEREL,Mackerel,Methylmercury,0.17,1991
MACKEREL,Mackerel,Methylmercury,0,1992
POLLOCK,Pollock,Methylmercury,0,1991
POLLOCK,Pollock,Methylmercury,0,1991
POLLOCK,Pollock,Methylmercury,0,1991
POLLOCK,Pollock,Methylmercury,0.09,1991
POLLOCK,Pollock,Methylmercury,0.09,1991
POLLOCK,Pollock,Methylmercury,0,1992
POLLOCK,Pollock,Methylmercury,0.1,1992
POLLOCK,Pollock,Methylmercury,0,1993
POLLOCK,Pollock,Methylmercury,0,1993
POLLOCK,Pollock,Methylmercury,0.1,1993
POLLOCK,Pollock,Methylmercury,0.12,1993
POLLOCK,Pollock,Methylmercury,0.12,1993
POLLOCK,Pollock,Methylmercury,0.14,1993
POLLOCK,Pollock,Methylmercury,0.16,1993
POLLOCK,Pollock,Methylmercury,0,1994
POLLOCK,Pollock,Methylmercury,0,1994
POLLOCK,Pollock,Methylmercury,0,1994
POLLOCK,Pollock,Methylmercury,0,1994
POLLOCK,Pollock,Methylmercury,0,1994
POLLOCK,Pollock,Methylmercury,0,1994
POLLOCK,Pollock,Methylmercury,0,1994
POLLOCK,Pollock,Methylmercury,0,1994
POLLOCK,Pollock,Methylmercury,0,1994
POLLOCK,Pollock,Methylmercury,0,1994
POLLOCK,Pollock,Methylmercury,0.065,1994
POLLOCK,Pollock,Methylmercury,0.11,1994
POLLOCK,Pollock,Methylmercury,0.78,1994
POLLOCK,Pollock,Methylmercury,0,1995
POLLOCK,Pollock,Methylmercury,0,1995
POLLOCK,Pollock,Methylmercury,0,1995
POLLOCK,Pollock,Methylmercury,0,1995
POLLOCK,Pollock,Mercury,0.005,2004
POLLOCK,Pollock,Mercury,0.003,2004
POLLOCK,Pollock,Mercury,0.004,2004
POLLOCK,Pollock,Mercury,0.005,2004
POLLOCK,Pollock,Mercury,0,2004
POLLOCK,Pollock,Mercury,0,2004
POLLOCK,Pollock,Mercury,0,2004
POLLOCK,Pollock,Mercury,0,2004
POLLOCK,Pollock,Mercury,0,2004
POLLOCK,Pollock,Mercury,0.005,2004
POLLOCK,Pollock,Mercury,0.01,2004
POLLOCK,Pollock,Mercury,0,2004
POLLOCK,Pollock,Mercury,0,2004
POLLOCK,Pollock,Mercury,0,2004
POLLOCK,Pollock,Mercury,0.006,2004
POLLOCK,Pollock,Mercury,0.006,2004
POLLOCK,Pollock,Mercury,0.012,2004
POLLOCK,Pollock,Mercury,0,2004
POLLOCK,Pollock,Mercury,0,2004
POLLOCK,Pollock,Mercury,0.007,2004
POLLOCK,Pollock,Mercury,0.008,2005
POLLOCK,Pollock,Mercury,0.0081,2005
POLLOCK,Pollock,Mercury,0,2005
POLLOCK,Pollock,Mercury,0.0114,2005
POLLOCK,Pollock,Mercury,0.0116,2005
POLLOCK,Pollock,Mercury,0.0084,2005
POLLOCK,Pollock,Mercury,0,2005
POLLOCK,Pollock,Mercury,0.0138,2005
POLLOCK,Pollock,Mercury,0.0116,2005
POLLOCK,Pollock,Mercury,0.0117,2005
POLLOCK,Pollock,Mercury,0.0032,2005
POLLOCK,Pollock,Mercury,0.0137,2005
POLLOCK,Pollock,Mercury,0.0159,2005
POLLOCK,Pollock,Mercury,0.0041,2005
POLLOCK,Pollock,Mercury,0,2005
POLLOCK,Pollock,Mercury,0.0414,2005
POLLOCK,Pollock,Mercury,0,2005
POLLOCK,Pollock,Mercury,0.0182,2005
POLLOCK,Pollock,Mercury,0.0096,2005
POLLOCK,Pollock,Mercury,0.212,2005
POLLOCK,Pollock,Mercury,0,2008
POLLOCK,Pollock,Mercury,0,2008
POLLOCK,Pollock,Mercury,0,2008
POLLOCK,Pollock,Mercury,0,2008
POLLOCK,Pollock,Mercury,0,2008
POLLOCK,Pollock,Mercury,0,2008
POLLOCK (SURIMI),Pollock,Methylmercury,0,1994
POLLOCK (SURIMI),Pollock,Methylmercury,0.05,1994
POLLOCK (SURIMI),Pollock,Methylmercury,0.06,1994
POLLOCK (SURIMI),Pollock,Methylmercury,0.07,1994
POLLOCK ALASKAN,Pollock,Methylmercury,0,1994
POLLOCK ALASKAN,Pollock,Methylmercury,0,1994
POLLOCK ALASKAN,Pollock,Methylmercury,0,1994
POLLOCK ALASKAN,Pollock,Methylmercury,0.09,1994
POLLOCK ALASKAN,Pollock,Methylmercury,0.11,1994
POLLOCK ALASKAN,Pollock,Methylmercury,0.11,1994
POLLOCK ALASKAN,Pollock,Methylmercury,0.12,1994
POLLOCK ALASKAN,Pollock,Mercury,0.007,2005
POLLOCK ALASKAN,Pollock,Mercury,0.0098,2005
POLLOCK ALASKAN,Pollock,Mercury,0.0065,2005
POLLOCK ALASKAN,Pollock,Mercury,0.0028,2005
POLLOCK ALASKAN,Pollock,Mercury,0.015,2007
POLLOCK ALASKAN,Pollock,Mercury,0,2008
POLLOCK ALASKAN,Pollock,Mercury,0,2008
SCALLOP,Scallop,Methylmercury,0,1991
SCALLOP,Scallop,Mercury,0,2005
SCALLOP,Scallop,Mercury,0,2005
SCALLOP,Scallop,Mercury,0,2005
SCALLOP,Scallop,Mercury,0,2005
