"","market_category","sd_ppm","mean_ppm","n","us_ppm","hk_ppm","interval","lower","upper","country_differences","us_median_ppm","us_n","hk_median_ppm","hk_n"
"1","Anchovy",0.0110220554646884,0.0237166666666667,6,0.0314333333333333,0.016,0.0115669378295543,0.0121497288371124,0.0352836044962209,-0.0154333333333333,0.02521,3,0.015,3
"2","Bonito",0.077216060505571,0.1354,2,0.0808,0.19,0.693758778595138,-0.558358778595138,0.829158778595138,0.1092,0.0808,1,0.19,1
"3","Croaker",0.0561748272720764,0.105460952380952,21,0.112789090909091,0.0974,0.0255704748041602,0.0798904775767922,0.131031427185113,-0.0153890909090909,0.124,11,0.098,10
"4","Cuttlefish",0.0494974746830583,0.081,2,0.116,0.046,0.444717165766114,-0.363717165766114,0.525717165766114,-0.07,0.116,1,0.046,1
"5","Eel",0.126006428407443,0.3391,2,0.4282,0.25,1.13212284199317,-0.793022841993165,1.47122284199317,-0.1782,0.4282,1,0.25,1
"6","Fish Maw",0.00922067242667258,0.02052,2,0.02704,0.014,0.082844454879859,-0.062324454879859,0.103364454879859,-0.01304,0.02704,1,0.014,1
"7","Flounder",0.197716481419734,0.2412275,4,0.302455,0.18,0.314611042893964,-0.0733835428939636,0.555838542893964,-0.122455,0.302455,2,0.18,2
"8","Herring",0.0323267729230594,0.0949314285714286,7,0.07184,0.11225,0.0298972784947343,0.0650341500766943,0.124828707066163,0.04041,0.0701,3,0.1005,4
"9","Mackerel",0.206664413966217,0.2344,5,0.254,0.221333333333333,0.256607762531731,-0.0222077625317311,0.491007762531731,-0.0326666666666667,0.254,2,0.092,3
"10","Noodlefish",0.019999226651715,0.04124,4,0.02998,0.0525,0.0318232324831409,0.0094167675168591,0.0730632324831409,0.02252,0.02998,2,0.0525,2
"11","Octopus",0.0933380951166243,0.164,2,0.098,0.23,0.83860951258753,-0.67460951258753,1.00260951258753,0.132,0.098,1,0.23,1
"12","Pollock",0.0314870665247389,0.0567025,4,0.031405,0.082,0.0501029492629388,0.00659955073706117,0.106805449262939,0.050595,0.031405,2,0.082,2
"13","Pomfret",0.0196787817204216,0.026915,2,0.04083,0.013,0.176806838903871,-0.149891838903871,0.203721838903871,-0.02783,0.04083,1,0.013,1
"14","Red Snapper Head",0.00311126983722082,0.1678,2,0.1656,0.17,0.0279536504195844,0.139846349580416,0.195753650419584,0.00440000000000002,0.1656,1,0.17,1
"15","Scallop",0.0307732871172385,0.03024,2,0.00848,0.052,0.276487015059161,-0.246247015059161,0.306727015059161,0.04352,0.00848,1,0.052,1
"16","Sea Cucumber",0.00452133829745132,0.011175,4,0.01435,0.008,0.00719445817983084,0.00398054182016916,0.0183694581798308,-0.00635,0.01435,2,0.008,2
"17","Shrimp",0.0411536146650571,0.0459,2,0.0168,0.075,0.369750557822684,-0.323850557822684,0.415650557822684,0.0582,0.0168,1,0.075,1
"18","Threadfin",0.0381165720739243,0.10954,4,0.11108,0.108,0.0606519719833703,0.0488880280166297,0.17019197198337,-0.00307999999999999,0.11108,2,0.108,2
